scenario,component_type,component_index,component_name,eta_i,eta_j,observed_diag_i,observed_diag_j,observed_offdiag,reported_diag_i,reported_diag_j,reported_offdiag,status,maximum_underestimate_ratio
quadratic_chain,module,0,QuadraticWell,0.940063788177018,,0.25,,,0.25,,,covered,1.0
quadratic_chain,module,1,QuadraticWell,0.872006481804008,,0.34258774617989884,,,0.34258774618003096,,,covered,0.9999999999996143
quadratic_chain,module,2,QuadraticWell,0.5356742585986218,,0.46946545533074696,,,0.46946545533085315,,,covered,0.9999999999997738
quadratic_chain,module,3,QuadraticWell,0.9155955505420955,,0.6433324490047599,,,0.6433324490047159,,,covered,1.0000000000000686
quadratic_chain,module,4,QuadraticWell,0.22158829812410974,,0.8815912549966564,,,0.8815912549960212,,,covered,1.0000000000007205
quadratic_chain,module,5,QuadraticWell,0.9795121133889388,,1.2080894444043724,,,1.2080894444044474,,,covered,0.9999999999999378
quadratic_chain,module,6,QuadraticWell,0.6941196446052222,,1.6555065597701326,,,1.6555065597696212,,,covered,1.0000000000003089
quadratic_chain,module,7,QuadraticWell,0.4265747635077827,,2.268625044385915,,,2.268625044390925,,,covered,0.9999999999977918
quadratic_chain,module,8,QuadraticWell,0.6579368097581262,,3.108812563548939,,,3.1088125635418384,,,covered,1.000000000002284
quadratic_chain,module,9,QuadraticWell,0.07262513350585165,,4.260164357751659,,,4.260164357759851,,,covered,0.9999999999980771
quadratic_chain,module,10,QuadraticWell,0.8679598261006072,,5.8379204227287165,,,5.8379204227257855,,,covered,1.000000000000502
quadratic_chain,module,11,QuadraticWell,0.8241305865119027,,8.0,,,8.0,,,covered,1.0
quadratic_chain,coupling,0,QuadraticCoupling,0.940063788177018,0.872006481804008,0.2999999999999306,0.2999999999999306,0.2999999999999306,0.3,0.3,0.3,covered,0.9999999999997687
quadratic_chain,coupling,1,QuadraticCoupling,0.872006481804008,0.5356742585986218,0.3600000000001943,0.3600000000001943,0.3600000000001943,0.36,0.36,0.36,covered,1.0000000000005398
quadratic_chain,coupling,2,QuadraticCoupling,0.5356742585986218,0.9155955505420955,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,3,QuadraticCoupling,0.9155955505420955,0.22158829812410974,0.30000000000027754,0.2999999999986122,0.2999999999994449,0.3,0.3,0.3,covered,1.0000000000009253
quadratic_chain,coupling,4,QuadraticCoupling,0.22158829812410974,0.9795121133889388,0.3600000000016653,0.36000000000088817,0.36000000000127674,0.36,0.36,0.36,covered,1.0000000000046259
quadratic_chain,coupling,5,QuadraticCoupling,0.9795121133889388,0.6941196446052222,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,6,QuadraticCoupling,0.6941196446052222,0.4265747635077827,0.30000000000027754,0.3,0.30000000000013877,0.3,0.3,0.3,covered,1.0000000000009253
quadratic_chain,coupling,7,QuadraticCoupling,0.4265747635077827,0.6579368097581262,0.35999999999958365,0.3600000000001943,0.35999999999988896,0.36,0.36,0.36,covered,1.0000000000005398
quadratic_chain,coupling,8,QuadraticCoupling,0.6579368097581262,0.07262513350585165,0.41999999999872323,0.4199999999969746,0.4199999999978489,0.42,0.42,0.42,covered,0.9999999999969601
quadratic_chain,coupling,9,QuadraticCoupling,0.07262513350585165,0.8679598261006072,0.29999999999902854,0.30000000000027754,0.29999999999965304,0.3,0.3,0.3,covered,1.0000000000009253
quadratic_chain,coupling,10,QuadraticCoupling,0.8679598261006072,0.8241305865119027,0.3600000000000208,0.3600000000000208,0.3600000000000208,0.36,0.36,0.36,covered,1.0000000000000577
quadratic_chain,module,0,QuadraticWell,0.9398571021401256,,0.25,,,0.25,,,covered,1.0
quadratic_chain,module,1,QuadraticWell,0.9471741029130033,,0.3425877461800723,,,0.34258774618003096,,,covered,1.0000000000001208
quadratic_chain,module,2,QuadraticWell,0.22363428779863015,,0.4694654553305695,,,0.46946545533085315,,,covered,0.9999999999993958
quadratic_chain,module,3,QuadraticWell,0.15470372909291344,,0.6433324490046582,,,0.6433324490047159,,,covered,0.9999999999999104
quadratic_chain,module,4,QuadraticWell,0.6083386870035253,,0.881591254995999,,,0.8815912549960212,,,covered,0.9999999999999748
quadratic_chain,module,5,QuadraticWell,0.5705050385480827,,1.2080894444045458,,,1.2080894444044474,,,covered,1.0000000000000815
quadratic_chain,module,6,QuadraticWell,0.9576098645983804,,1.6555065597701326,,,1.6555065597696212,,,covered,1.0000000000003089
quadratic_chain,module,7,QuadraticWell,0.8594966487290989,,2.2686250443915696,,,2.268625044390925,,,covered,1.0000000000002842
quadratic_chain,module,8,QuadraticWell,0.058275672404120696,,3.1088125635393897,,,3.1088125635418384,,,covered,0.9999999999992123
quadratic_chain,module,9,QuadraticWell,0.5953321859492389,,4.260164357759681,,,4.260164357759851,,,covered,0.9999999999999601
quadratic_chain,module,10,QuadraticWell,0.4592514267968459,,5.837920422725452,,,5.8379204227257855,,,covered,0.9999999999999429
quadratic_chain,module,11,QuadraticWell,0.48960049507748754,,8.0,,,8.0,,,covered,1.0
quadratic_chain,coupling,0,QuadraticCoupling,0.9398571021401256,0.9471741029130033,0.29999999999999566,0.29999999999999566,0.29999999999999566,0.3,0.3,0.3,covered,0.9999999999999856
quadratic_chain,coupling,1,QuadraticCoupling,0.9471741029130033,0.22363428779863015,0.36000000000088817,0.35999999999888976,0.35999999999988896,0.36,0.36,0.36,covered,1.0000000000024671
quadratic_chain,coupling,2,QuadraticCoupling,0.22363428779863015,0.15470372909291344,0.4200000000000347,0.4200000000000347,0.4200000000000347,0.42,0.42,0.42,covered,1.0000000000000826
quadratic_chain,coupling,3,QuadraticCoupling,0.15470372909291344,0.6083386870035253,0.3,0.30000000000027754,0.30000000000013877,0.3,0.3,0.3,covered,1.0000000000009253
quadratic_chain,coupling,4,QuadraticCoupling,0.6083386870035253,0.5705050385480827,0.3599999999999341,0.3599999999999341,0.3599999999999341,0.36,0.36,0.36,covered,0.9999999999998169
quadratic_chain,coupling,5,QuadraticCoupling,0.5705050385480827,0.9576098645983804,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,6,QuadraticCoupling,0.9576098645983804,0.8594966487290989,0.2999999999999306,0.2999999999999306,0.2999999999999306,0.3,0.3,0.3,covered,0.9999999999997687
quadratic_chain,coupling,7,QuadraticCoupling,0.8594966487290989,0.058275672404120696,0.3599999999981126,0.35999999999913956,0.3599999999986261,0.36,0.36,0.36,covered,0.9999999999976099
quadratic_chain,coupling,8,QuadraticCoupling,0.058275672404120696,0.5953321859492389,0.42000000000084653,0.420000000000111,0.42000000000047877,0.42,0.42,0.42,covered,1.0000000000020155
quadratic_chain,coupling,9,QuadraticCoupling,0.5953321859492389,0.4592514267968459,0.2999999999999306,0.3,0.2999999999999653,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,10,QuadraticCoupling,0.4592514267968459,0.48960049507748754,0.3599999999999306,0.3599999999999306,0.3599999999999306,0.36,0.36,0.36,covered,0.9999999999998073
quadratic_chain,module,0,QuadraticWell,0.9224612366499372,,0.25,,,0.25,,,covered,1.0
quadratic_chain,module,1,QuadraticWell,0.8571262225318477,,0.3425877461800723,,,0.34258774618003096,,,covered,1.0000000000001208
quadratic_chain,module,2,QuadraticWell,0.5342472882546769,,0.46946545533074696,,,0.46946545533085315,,,covered,0.9999999999997738
quadratic_chain,module,3,QuadraticWell,0.8989717285204116,,0.6433324490047599,,,0.6433324490047159,,,covered,1.0000000000000686
quadratic_chain,module,4,QuadraticWell,0.23272476619914534,,0.8815912549966564,,,0.8815912549960212,,,covered,1.0000000000007205
quadratic_chain,module,5,QuadraticWell,0.9603316288533813,,1.2080894444043724,,,1.2080894444044474,,,covered,0.9999999999999378
quadratic_chain,module,6,QuadraticWell,0.6863548588210133,,1.6555065597701326,,,1.6555065597696212,,,covered,1.0000000000003089
quadratic_chain,module,7,QuadraticWell,0.4295117729674714,,2.268625044391466,,,2.268625044390925,,,covered,1.0000000000002387
quadratic_chain,module,8,QuadraticWell,0.6516193373678011,,3.108812563548939,,,3.1088125635418384,,,covered,1.000000000002284
quadratic_chain,module,9,QuadraticWell,0.08972012816561759,,4.260164357751659,,,4.260164357759851,,,covered,0.9999999999980771
quadratic_chain,module,10,QuadraticWell,0.8532414330565828,,5.8379204227287165,,,5.8379204227257855,,,covered,1.000000000000502
quadratic_chain,module,11,QuadraticWell,0.8111653630514266,,8.0,,,8.0,,,covered,1.0
quadratic_chain,coupling,0,QuadraticCoupling,0.9224612366499372,0.8571262225318477,0.3000000000001041,0.3000000000001041,0.3000000000001041,0.3,0.3,0.3,covered,1.000000000000347
quadratic_chain,coupling,1,QuadraticCoupling,0.8571262225318477,0.5342472882546769,0.3599999999995004,0.3599999999995004,0.3599999999995004,0.36,0.36,0.36,covered,0.9999999999986122
quadratic_chain,coupling,2,QuadraticCoupling,0.5342472882546769,0.8989717285204116,0.41999999999872323,0.41999999999872323,0.41999999999872323,0.42,0.42,0.42,covered,0.9999999999969601
quadratic_chain,coupling,3,QuadraticCoupling,0.8989717285204116,0.23272476619914534,0.30000000000027754,0.3,0.30000000000013877,0.3,0.3,0.3,covered,1.0000000000009253
quadratic_chain,coupling,4,QuadraticCoupling,0.23272476619914534,0.9603316288533813,0.35999999999888976,0.3599999999981126,0.3599999999985012,0.36,0.36,0.36,covered,0.999999999996916
quadratic_chain,coupling,5,QuadraticCoupling,0.9603316288533813,0.6863548588210133,0.420000000000111,0.420000000000111,0.420000000000111,0.42,0.42,0.42,covered,1.0000000000002642
quadratic_chain,coupling,6,QuadraticCoupling,0.6863548588210133,0.4295117729674714,0.29999999999958366,0.3,0.2999999999997918,0.3,0.3,0.3,covered,1.0
quadratic_chain,coupling,7,QuadraticCoupling,0.4295117729674714,0.6516193373678011,0.36000000000027754,0.3599999999995004,0.35999999999988896,0.36,0.36,0.36,covered,1.000000000000771
quadratic_chain,coupling,8,QuadraticCoupling,0.6516193373678011,0.08972012816561759,0.41999999999872323,0.4199999999969746,0.4199999999978489,0.42,0.42,0.42,covered,0.9999999999969601
quadratic_chain,coupling,9,QuadraticCoupling,0.08972012816561759,0.8532414330565828,0.29999999999764076,0.29999999999888977,0.29999999999826527,0.3,0.3,0.3,covered,0.9999999999962993
quadratic_chain,coupling,10,QuadraticCoupling,0.8532414330565828,0.8111653630514266,0.3599999999999341,0.3599999999999341,0.3599999999999341,0.36,0.36,0.36,covered,0.9999999999998169
quadratic_chain,module,0,QuadraticWell,0.34160984821574786,,0.25,,,0.25,,,covered,1.0
quadratic_chain,module,1,QuadraticWell,0.19066309106821128,,0.34258774617955834,,,0.34258774618003096,,,covered,0.9999999999986204
quadratic_chain,module,2,QuadraticWell,0.4296857260761766,,0.4694654553305695,,,0.46946545533085315,,,covered,0.9999999999993958
quadratic_chain,module,3,QuadraticWell,0.483109575145866,,0.6433324490039644,,,0.6433324490047159,,,covered,0.9999999999988318
quadratic_chain,module,4,QuadraticWell,0.14404791436698228,,0.8815912549966564,,,0.8815912549960212,,,covered,1.0000000000007205
quadratic_chain,module,5,QuadraticWell,0.24600688799924483,,1.2080894444032173,,,1.2080894444044474,,,covered,0.9999999999989817
quadratic_chain,module,6,QuadraticWell,0.5944708330443005,,1.6555065597687448,,,1.6555065597696212,,,covered,0.9999999999994706
quadratic_chain,module,7,QuadraticWell,0.7266779532527218,,2.2686250443908755,,,2.268625044390925,,,covered,0.9999999999999782
quadratic_chain,module,8,QuadraticWell,0.630784841995076,,3.108812563548939,,,3.1088125635418384,,,covered,1.000000000002284
quadratic_chain,module,9,QuadraticWell,0.12116615604539557,,4.260164357751659,,,4.260164357759851,,,covered,0.9999999999980771
quadratic_chain,module,10,QuadraticWell,0.025405546689315203,,5.8379204227467945,,,5.8379204227257855,,,covered,1.0000000000035987
quadratic_chain,module,11,QuadraticWell,0.3005251295587762,,8.0,,,8.0,,,covered,1.0
